;Entidad Federativa;Sexo;2005 Trimestre I;2005 Trimestre II;2005 Trimestre III;2005 Trimestre IV;2006 Trimestre I;2006 Trimestre II;2006 Trimestre III;2006 Trimestre IV;2007 Trimestre I;2007 Trimestre II;2007 Trimestre III;2007 Trimestre IV;2008 Trimestre I;2008 Trimestre II;2008 Trimestre III;2008 Trimestre IV;2009 Trimestre I;2009 Trimestre II;2009 Trimestre III;2009 Trimestre IV;2010 Trimestre I;2010 Trimestre II;2010 Trimestre III;2010 Trimestre IV;2011 Trimestre I;2011 Trimestre II;2011 Trimestre III;2011 Trimestre IV;2012 Trimestre I;2012 Trimestre II;2012 Trimestre III;2012 Trimestre IV;2013 Trimestre I;2013 Trimestre II;2013 Trimestre III;2013 Trimestre IV;2014 Trimestre I;2014 Trimestre II;2014 Trimestre III;2014 Trimestre IV;2015 Trimestre I;2015 Trimestre II;2015 Trimestre III;2015 Trimestre IV;2016 Trimestre I;2016 Trimestre II;2016 Trimestre III;2016 Trimestre IV;2017 Trimestre I;2017 Trimestre II;2017 Trimestre III;2017 Trimestre IV;2018 Trimestre I;2018 Trimestre II;2018 Trimestre III;2018 Trimestre IV;2019 Trimestre I;2019 Trimestre II;2019 Trimestre III;2019 Trimestre IV;2020 Trimestre I;2020 Trimestre II;2020 Trimestre III;2020 Trimestre IV;2021 Trimestre I;2021 Trimestre II;2021 Trimestre III;2021 Trimestre IV;2022 Trimestre I;2022 Trimestre II;2022 Trimestre III;2022 Trimestre IV;2023 Trimestre I;2023 Trimestre II;2023 Trimestre III;2023 Trimestre IV
21;Guanajuato;Hombres;7102.0454766814;7085.8127301043005;6707.0971965413;7011.5013054738;6938.314575433;6889.1787323381;6886.7195997133;7039.2075146284005;7337.0601800173;7656.692288889701;7170.580918495701;6960.7841024619;7188.4249866579;6819.9122022177;6737.3861591326;6246.143933485901;6491.7841812761;6238.5571622029;6123.6437822011;6061.9818732654;6175.3619360605;5912.7786417273;6129.5682912217;6228.0251205349;6132.2270092479;6160.449466215;6006.1672939058;5772.0391485886;6199.650106048;5896.1180744195;5914.0235868245;6029.8789603775;6075.0102078779;5882.607581793401;6075.4126011101;5925.467470319801;5953.2436563292;5896.3378527471;5994.447200106701;6081.8200575038;5941.0949492246;6269.2510985269;6266.2052945622;6395.7619952417;6404.1610391302;6632.761625408801;6380.6931421765;6443.834667814101;6499.8027712537005;6606.4499447699;6542.392191909;6828.5790637929;7084.4867712714;6944.6423611215005;6930.7597308426;6992.7461311845;6944.8144156272;6959.8597055548;6818.4604138368;6880.7137399532;7072.233434581;ND;6513.731268974901;6750.5160624213;6836.3882960166;6542.7372857597;6569.129045281;6451.2806489785;6922.596084659301;6591.9323936428;6407.2588665706;6628.206168432001;6619.5175738719;6914.3146364269005;6665.1627460884;6889.7599991333
22;Guanajuato;Mujeres;4487.2702590949;4673.6581934634005;4364.9047817948;4626.1171315321;4748.5557094315;4935.2661267464;4856.2113684952;5026.7391370301;5164.8004841757;5035.2726316371;4954.5512052198;4555.4784858551;4789.3712891468;4509.1696366716005;4483.5666908589;4353.060859592701;4587.1856777504;4400.9582766914;4628.2927760237;4373.8638145742;4278.6965171868005;4438.9576659502;4498.8391554401005;4527.0039621004;4509.6532010233;4648.9572272496;4580.93412075;4229.7874869906;4435.2125035116005;4066.780171666;4198.239851613;4404.4077625031005;4345.7452617102;4273.7772733577;4237.1014735344;4281.7057596390005;4296.9721384261;4346.2230636039;4328.6220826596;4301.5175122116;4612.1955432703;4324.8271898567;4232.4197619666;4618.3324190182;4844.2489595363;4832.0345491676;4621.7397994551;4842.7336380548;4772.8030939571;4965.4484685309;4593.0208870431;4781.663127996901;4875.8859198207;4799.2809970708;4887.7513485299005;4846.6940085954;5162.6312591776;5098.9008393181;5063.859293778;4962.5461300114;5301.0824256060005;ND;5108.0104036471;5231.9822331277;5188.8726333187005;4871.958965636501;4712.8277321383;4826.5029728728005;5101.2698677448;4838.9619536736;4876.2755781933;4822.5189779004;4996.4609605638;5106.6524765792;4962.587491866901;5112.1215793587
23;Guerrero;Hombres;4984.3132110862;4919.435260911;4295.7137563867;4202.8581041649;5236.3656221333;4799.5389933625;4541.6882983827;4638.3354047154;4734.6068471661;4576.515463141101;4281.693795092;4276.6007308798;5092.9497208154;4825.5051574804;4217.3502327874;4028.5242074167;4507.4879698623;3901.6901241134;3611.5772264394;3761.4312774291;4402.9650086351;3824.9759779258;3560.8602974256;3560.6123563127003;4384.312093870501;3839.3123194249;3572.4615975872002;3575.9278615245003;3949.0077467818;3787.9211624541003;3366.8656487363;3416.5529331011003;3976.8871728741;3657.1521092364;3527.6971541771;3629.227452615;3953.214599208;3678.1789537258;3247.7630380675;3520.4116906578;3863.3554848796;3546.8002331613;3578.2382923728;3470.8127511791;3910.0815332698003;3608.0073338142;3252.6752433554;3353.0978787009003;4018.3125314789;3572.4648895124;3236.4171585274003;3332.8985365026;3934.3159371771003;3949.1838718198;3337.4925551564;3342.6156265078002;3959.3313555396003;3715.0082762469;3641.1903751491;3745.2255144724;4361.2903313994;ND;3701.5491825682;3725.3955397751;4147.4562820369;3917.5411572214;3691.384263746;3892.6208734119;4480.6839352011;4000.6321610005;3269.7278698442;3838.0286958852002;4329.6285056803;4483.8747325678005;4069.633177021;4077.3943976248
24;Guerrero;Mujeres;4042.7600101009;4206.4132759708;3928.2648876188;4249.6049877107;4552.119097204501;4076.3770438477;4137.5748084029;3770.9057243803;4236.6483965761;3900.7154358896;3626.5143890964;3520.1059381871;3943.5893440668;4003.6517193937;4032.677818897;3332.5371417022;4038.5316316268;3703.2891586256;3312.0750937566;3461.8191748117;3591.5889912935;3493.6356538776;3429.91196503;3260.3279014504;3648.0648124139;3352.2270551216;3383.4802092373;2980.4530959703;3369.9105800626003;3253.8925348477;3024.2492599744;3323.202268152;3641.8834670716;3706.1567488128003;3623.0873915957;3370.0208306049003;3582.192587781;3558.044110323;3187.7435527347;3481.6487485493003;3480.3871660996;3500.2457038812;3226.8532478745;3195.1133781217;3401.9710134181;3406.4436968314003;3482.0620750413;3615.4989427728;3669.4343243692;3517.8901194421;3680.8765616476003;3093.2497605824;3590.0319839173003;3284.0607632516003;3447.7450691935;3208.8778174425;3284.882546451;3310.1588275994;3351.9549397561;3383.8018507333;3601.7501511775004;ND;3136.4540103489003;4449.281557922201;4264.914936828201;3699.1681497617;3520.3015204109;3560.6360585741;3833.0732033279;3536.9568368006003;3181.7952498001;3114.8587826998;3791.9756444913;3813.4043068583;3431.0520124902;3440.3952315786
25;Hidalgo;Hombres;5715.5620728059;5922.7250622468;5402.9636707835;5617.031242580801;5353.5651744025;5602.7696477636;6052.0502771204;6073.5525620539;6153.4112263399;6184.2004031482;5891.6694131655;6130.127977965601;5683.2296500166;5846.0322377712;5859.7747699065;5584.3130150317;5706.5843905449;5549.4548108869;5444.5372924418;5647.6312415257;5388.768451468401;5418.0158196002;5834.2446471572;5447.9592994273;5591.7685192606;5693.1344503328;5229.4483329602;5679.2217592636;5392.0701579129;5858.4184255951;5619.1399301838;5493.4440111407;5014.0432748094;5926.5420199114005;5614.3030837174;5501.5554931131;5607.1005044044;5257.6576512212005;5380.641264196201;5227.385414911;5557.2944196383005;5506.8206416005005;5418.0242621049;5503.4604235999;5695.5912413853;5517.7000929027;5728.253982016;5580.3633102125;5141.3740328369;5572.4706406902005;5572.2156475267;5250.589368042401;5323.5808669306;5261.6564341978;5428.0384863687;5338.4976875403;5345.0409797835;5415.1494486971005;5184.9496349726005;5308.5729999504;5523.7224435913;ND;4977.0388988996;5469.0731376773;5630.1506729392;5800.5178649694;5552.7372557521;5556.865072057;5459.5357459509005;5832.307418434601;6129.9840201216;6510.002337959;6619.3390837174;6179.9589420408;5797.2465591557;6081.860012914
26;Hidalgo;Mujeres;3929.2187051709;3814.3254450714003;3655.0417962035003;3994.4027350979;4266.1315728788;4291.5483274782;4781.319892123201;4579.0635516064;4291.102046798;4573.828344145701;4336.590216229501;4253.0582966524;4051.604464507;4175.2335057599;4368.5799490013005;4099.7576474914;4192.3982273315005;4542.3570898994;4339.1894205464005;4121.2083930155;3994.172731816;4038.1370085557;4377.0013023737;4175.4079827846;4161.8118507086;4323.7744251937;4199.1752398097005;4345.2214668711;4400.8202289926;4466.1016837138;4385.8275248469;4368.2324204355;4413.2005888765;4290.8573990497;4493.7904533452;4365.0722451247;4506.4875706725;4410.3987365239;4450.4398686632;4129.912247480001;4475.5172372554;4376.658727597201;4218.4251942725;4098.704963897901;4406.9518688784;4346.1255759382;4508.3799931032;4498.7819876849;4264.9286483259;4005.6488199158002;4040.1597756898;3624.9348613887;3969.76474567;4032.7537728078;3777.4075759744;3925.1920785153;4189.1512378631005;3894.7986910254003;3737.6354943326;3858.6600521797;4126.4531585036;ND;3722.7284944168;4222.4941790653;4231.3480410177;4244.9343162798;4126.7698375385;4297.2140964591;4253.8843853555;4213.685757499;4342.4792759061;4476.6551784151;4814.3605048155005;4586.5062116299005;4400.9452805736;4603.9769912053
27;Jalisco;Hombres;8013.5013597295;8374.1766682328;8014.7925045083;8150.0440624463;8489.0928936117;8548.6581197216;8473.7695193818;8558.5195073561;8562.875989239901;8675.850886120501;8364.6101705299;8371.5066231905;8676.7591364704;8715.5668567051;8281.0090772146;8148.144654348201;8053.7463573974;8013.812623904801;7502.8571712977;7612.6920311082;7377.8023887293;7614.6841628539005;7240.220850804601;7376.6109118776;7506.3781274625;7415.4417748684;7176.5610548134;7206.9665185814;7188.614514648901;7414.2785003943;7205.144268711801;7434.8170879264;7435.3812568208;7539.5932396118005;7438.8153116673;7337.734167813001;7345.924208845;7604.6441998455;7531.9569085197;7032.0421515034;7328.4348779322;7301.1646964001;7640.0934150474;7352.9160607897;7599.8009946475;7463.1594217924;7584.2255518206;7534.6569022107005;7784.9101459734;7689.333361755001;7584.6077175542005;7581.9627623956;7834.5004576549;7580.3563225642;7673.7264542824005;7896.8977160307;7846.3200664172;8025.885418285;7791.8376463131;7976.389772694401;8597.0163344929;ND;8231.4336978874;8210.287502278;8457.527880494701;8215.3015197911;8120.9675436146;7854.272087864;8377.3287994662;8389.7202204224;8180.5007860583;8604.5364070897;8724.536967262;8879.1555239649;9121.379127509601;9001.3187278251
28;Jalisco;Mujeres;4954.2715011755;5232.188619422201;4964.8642091005;5055.2145490472;5543.647109205201;5761.1819483031;5593.1610415508;5467.3317962593;5640.9098111373005;5882.4459257545;5808.3831565405;5689.0701438869;5952.8919940408005;5658.6432319086;5556.4580420422;5599.5219587601005;5270.6900510456;5277.7027721772;5114.5439017051;4872.3030448982;5095.3743073258;5171.7035152964;5073.2890732121;4976.3071978864;5095.3240089428;5155.4107463072005;4982.6890007206;4988.056338639501;5170.6082775632;5354.246683835;5239.6961187238;5390.9601266427;5414.0374246355;5317.2832090319;5384.7501276066005;5213.6419062358;5190.0291097027;5372.0716049109005;5269.0074364616;5002.5051358752;5216.3029514287;5482.9494878238;5448.4822995509;5347.027837695;5542.8655841072;5441.8917376308;5583.5999765927;5570.8332436303;5640.0156515679;5483.714490287;5688.9098648406;5616.2685162298;5861.9318673683;5788.8740449359;5757.2984320715;5500.261260791301;5811.1211833231;6029.2432456092;5837.5897436825;6039.2040827347;6149.5509516967;ND;6338.4517445576;6464.5303916933;6801.5119293451;6535.488885175901;6344.1342758142;6108.356242672;6535.4822051594;6326.358339086601;6408.5597920857;6429.2213057521;6518.456095651601;6917.8173560529;6818.9741251561;6944.534294443701
29;México;Hombres;7061.952029695401;7382.6258233724;7430.2052812208;7423.0272546059;7790.7756333913;7597.5151603993;7821.6031940711;7281.4890370032;7492.1220559609;7830.472709648;7425.6264653598;7191.1781948658;7261.8270264184;7373.2072922012;7380.8541428216;6759.3052042654;7134.2849295195;7367.2599724865;7067.8446982357;6809.9581354492;7108.0819524825;7121.1490032983;7074.2060618335;7001.9890340329;7196.9716012501;7324.326942284801;7509.6571585956;6878.0705514382;7178.0346248995;7144.6728162377;6873.786900918601;6548.1165860406;7384.3920692641;6433.451464843401;6142.5681334989;6726.9628306643;6375.949852280601;6204.41792289;6164.10907735;5949.8155081787;6203.8105965748;6012.2448029656;6175.52832607;6294.3630871363;6357.6624441829;6250.1340922353;6690.9756257274;6311.9735028275;6312.345103955;6260.8425229668;6375.3134590738;6168.7721840841;6442.8116461665;6439.250393037;6195.8861916055;6245.5621660043;6412.7858245048;6357.7546187657;6265.4548046638;6382.257832998201;6677.6181391724;ND;6449.9125871868;6530.680899127;6820.2310481552;6790.5425612619;6757.8920523087;6543.054863797401;7033.0001666728;7100.5234275801;6627.4478531937;6572.501580881;7160.2627725334005;7250.4304826476;7389.5433438291;7499.360218998
30;México;Mujeres;4788.276614141901;5539.999732102;5654.4142413233;5435.577914891201;5424.7086783753;5303.9910097354;5307.0698369801;5146.6636083638;5066.33784786;5457.7666775297;5461.9355104817005;5223.0457985608;5348.2782999473;5569.4163581796;5259.7116379192;5096.2216566275;5758.2281395032005;5429.0485916705;5435.7740387879;5075.8375910845;5132.005409598601;5236.9550143085;5363.425210289201;5457.280755458;5561.074026475901;5671.6022714296005;5817.8055088678;5297.3728846821;5550.9473976339;5401.3047537731;4943.4833525416;5015.3444624829;5060.8983720874;5077.0413938449;4656.9651377671;4782.8187926549;4847.1113894567;4650.7992203663;4886.7001367165;4497.2626304878;4625.3607125220005;4484.7368190794;4491.3437679846;4397.9736080384;4767.1024336149;4868.332005400101;5178.8201541566;5010.5908309926;5003.3554846561;4908.2179148631;4977.3610877291;4744.1624403319;5095.0573975922;5129.4934493619;4926.3083929155;4770.3076472640005;5006.502028003701;4913.3880996926;4717.3592049909;4790.2667000139;5163.3694215045;ND;5240.7325861431;5538.8623357258;5669.9602825669;5544.4554579652;5413.9252526221;5483.2370187774;5438.289808839;5614.58388728;5392.8966909031005;5344.5145264538005;5839.5979939853005;5803.2902906790005;5580.1996927397;5830.5149688038
31;Michoacán de Ocampo;Hombres;6416.0632866644;6149.087189405001;5974.269126874;6135.841025298801;5705.5751096196;6178.2157667066;6215.340743178101;6560.8780135685;6485.8389289201;6483.6263311217;6465.7245858716005;6335.8645628686;6355.0210939985;6950.6845483146;6127.9903217711;6598.0516310476005;6654.6171587291;6678.631491715;6294.6393004293;6094.7687639955;6454.9562699334;6481.2370350999;6329.4663991318;6363.609907664901;6475.1591834027;6338.104060425;6131.8071344992;6374.0929146381;6269.6289151187;6569.6445393522;6206.1587399049;6128.6393101307;6477.4458960065;6082.5652579169;5711.8326550293;5730.000011642001;5984.774910468001;5731.929279621;5804.7017040083;5718.0261329916;5837.4070587085;5694.8333381637;5801.7982198463005;5692.6321645442;5846.8122825308;5735.2693383762;5670.6702620669;5780.9643251008;6121.948933997301;5826.6687342589;5755.0349775390005;5959.9792104739;6031.5820860884005;6183.8261740748;6070.6451752769;6230.2462973362;6642.3681541937;6023.3551243247;6339.072511473601;6260.175678196801;6674.2670243801;ND;6621.0908315072;6948.2820508285;6690.4977834376;6929.0329175114;6712.3563846218;6655.1980874372;6743.7325862868;7036.0031593814;6515.0737342801;6860.0975227392;6997.5662928899;7175.0915648807;6900.2754134948;7105.9843560164
32;Michoacán de Ocampo;Mujeres;4046.1670644873;4118.161975087301;3822.1674759699004;4136.0765646182;4087.8388230347;4174.1844102414;4272.7178995051;4314.8073431215;4412.2443758835;4454.718256271401;4289.59414453;4233.2635008863;4235.3420732375;4649.8069503198;4518.0070364352005;4544.9235202056;4507.6687548367;4607.3645023217005;4279.6139064777;4522.1289604197;4417.2941372532005;4420.4521015773;4577.6456903814005;5187.6130754222;4883.7591432252;4380.5363823455;4285.5771321039;4526.4661833281;4411.351985927;4474.5052343932;4326.2181968529;4286.0882059239;4492.0758259523;4393.7043127049;4394.6596318335005;4263.7078659936005;4432.6663711487;4206.8839879069;4518.563186936;4289.4743667278;4200.1731913159;4337.6622932328;4361.1412845922005;4411.3679828339;4304.221290100701;4540.2868192817;4427.2282786007;4173.6580967483005;4499.9297221279;4291.1092442942;4390.9727175808;4244.245843321401;4394.7189060631;4503.2152660466;4703.6852793482;4579.5529580985;4696.1083124896;4576.1243188048;4685.6631622978;4706.2283671305;5064.5418851183;ND;5238.1600586027;4910.332420675;5571.5345006165;5339.098511016;5636.0424338405;5332.7275727766;5504.2205866948;5477.4484446361;5025.6039537362;5098.9454667861;5107.1624078389;5252.5711679218;5202.6469249967;5208.8885836605
33;Morelos;Hombres;6637.6974193196;6583.555092657601;6541.6428997505;7180.543266673;6407.8733827886;6527.1745005170005;6792.5467351829;6807.3624698793;6653.9347494153;6948.6288218824;6710.4638292744;6409.440679954;6486.266354934301;6391.7171388584;6042.2836797002;6025.4716534297;6128.1177959392;6098.7649800734;6373.793852799;5851.709249907501;5823.5271740129;6085.0463487544;5755.1730735567;5973.7004184954;5741.3217402392;6170.5413460093005;6161.1894865909;5842.3676387755;6091.1647375287;6101.3138897573;5788.804514175;6044.8967356495;5563.2880409878;5616.2674994191;5584.2101272855;5633.7606423513;5511.1033978346;5200.671955588;5341.6897467212;5421.485018689;5530.499009161;5580.6208397726;5533.5289216977;5431.9045146665;5604.4012378364005;5505.7937564963;5520.7449526144;5266.143719155501;5578.2497988438;5330.3440256759;5426.0574804729;5250.8934568832;5243.9789183985;5305.4688008489;4975.926732459;5004.2433103062;5200.0175399822;5133.0825591502;5262.9202783972005;5056.9796920318;5466.9840549531;ND;5286.0465872915;5460.134588748901;5859.9727060451005;5849.106164812601;5556.3369629076005;5836.1411937553;5866.4888951448;6228.3523768891;5902.7752013642;6177.7454659429;6406.8578462757005;6217.0632584463;6240.961454749;6051.939275639
34;Morelos;Mujeres;4379.4372193623;4387.2006785913;4583.5073454657;4698.3415201316;4382.9272383525;4390.1673791987005;4807.9309139983;4473.1279008328;4379.8553719121;4729.7043880303;4431.165724991401;4385.5715154876;4386.2045200661005;4272.8977844484;4446.5296305822;4111.030649201;4319.875040908;4152.0870482522005;4073.4252058963;4231.7868519387;4119.2691689651;4305.2138359966;4292.2455879564;4367.272214282701;4280.888790654601;4239.9175658247;4481.9211502439;4049.1168146797;4552.6881053875;4564.445311835;4179.8823879228;4237.813370650701;4013.72799941;3897.3187712794;3936.4544390019;3921.1210744394;3806.4205634512;3683.8886808339003;3795.3399622649004;3823.7196391556004;3820.1479512726;3867.3669967471;3833.71593592;3835.2159923334;3904.8677921812;3843.0744990807;3778.2756698676003;3774.3072464179;3966.0663233749;4212.1300641404005;4019.1176943531;3568.5391642041;3660.3603246359003;3701.9943437209004;3742.6382084478;3536.0063417307;3570.2106533695;3680.7150033743;3923.7109569846;3675.6620240277;4084.5285229233;ND;3956.0239657742;3934.9811941904;4459.9201140082005;4360.1901083686;4388.9407189834;4191.3880997555;4368.0351144465;4257.1096820223;4230.7106683771;4173.7634582018;4354.7516146695;4350.0528730265005;4319.578531691101;4341.3358926071005
35;Nayarit;Hombres;6468.8680564321;6569.0628412422;6562.6761877903;6794.3061623926005;6888.4056726516;7142.5988528361;7376.727675429101;7075.190633154601;7402.9430931866;7305.1833563947;7228.757727099201;7110.2907934343;7613.5009921665005;7302.805505420601;7345.7226895071;7079.422930984;7306.341954545201;7209.434751438101;6914.8366991031;6668.579807097401;6597.8609500528;6645.766407904201;6446.0236447140005;6390.0880233712005;6484.339239411101;6366.0049904628;6536.9537364404005;6391.5109119151;6434.1010979576;6405.8903874867;6519.9073141478;6476.2459324775;6794.425675717001;6579.6017465748;6423.5464702206;6450.7997008533;6456.938707615101;6512.0131865167;6570.5096167773;6321.623325178601;6190.4946764466;6447.2662682132;6353.1532069277;6274.402867665401;6646.3309467653;6487.0964391915;6686.5018631325;6564.769489257;6593.228458587901;6668.4124050957;6332.6842708605;6742.7789417833;6776.980108898801;6982.920505464101;6873.517422059001;6606.8032209364;6852.556432866901;6753.5430224386;6625.4729555295;6680.7717831827;7048.0420195257;ND;7103.864087427501;7205.5781550162;7330.8906268759;7156.693250914001;7075.0612534312;7090.6795473887005;7353.0081900546;7363.8438213182;7187.4398851114;7322.3243823085;7425.853161234901;7745.298534010801;7673.8418959338005;7867.5685602181
36;Nayarit;Mujeres;4816.9592873965;4740.2389048405;4794.9848540196;4868.3453033875;4930.7392156339;4960.763596268001;5159.9308509381;5149.9740538096;5259.0099220239;5384.7424202505;5357.3065369874;5225.8378243936;5484.4345076303;5453.6960766775;5714.0535315479;5369.4995541483;5262.114694679401;5300.4182678786;5052.303705850401;4954.9363974933;4949.1192519233;5214.8603771436;5101.0996059628005;4918.2070511305;5026.0752131225;5156.4901421589;5190.3893025632005;5056.8882884807;5054.5929392265;5013.8457384263;4847.2144757525;4851.5200079507;4964.8827490878;5078.1693060248;5096.5223090299005;5014.9208573859005;4936.114470748;4802.4183406795;4906.761384371101;4718.0516978721;4876.647299471;4814.1300248235;4837.9817529122;4656.9020860746;5023.1438713044;4868.0825454188;5080.404952824801;4757.8659640155;4919.351013352;4870.9636723471;5071.4522569124;5141.7844076755;5036.0603207042;5076.4656643219005;4886.118291460601;4758.8924976744;4674.9219042682;4802.4528005085;4712.2691737791;4826.0539255428;5264.9990863904;ND;5522.3693055542;5215.3502513762005;5805.2248870247;5265.977758670901;5511.349106383001;5609.5787593021005;5856.170184911401;5761.8437980866;5612.766832246401;5554.4381088827;5730.3905937494;5714.3235806966;5769.5849799409;5866.7594029609
37;Nuevo León;Hombres;10758.304107482201;10944.0396371589;11037.7171068206;11115.5602045835;11299.273153678001;11192.6635106436;11499.7976967092;10936.4881448864;11009.7251447404;11193.4204732946;11539.4216693404;11135.4453211116;10898.887463245;10782.9734527746;10955.4675198271;10218.359012774;9960.203788389901;9901.755958834001;9531.8946377158;9506.7937722308;9577.9599345266;9592.496113298;9538.6904287374;9011.9026339072;8801.1331884599;9050.9519381647;8872.9799724511;9015.096008325301;8829.2593018523;8698.1006022664;9064.3253436383;8754.2994194936;8754.8534086404;8841.2442327996;8583.890937911301;8301.0974449183;8480.2358650199;8038.3206700434;8758.5228515154;8519.657240279801;8425.894182673;8173.6076433791;8656.1027976843;8506.359115122501;8505.213050471;8823.2742901611;8743.9250312867;8991.645396932001;9069.0347130887;8728.2876475617;8975.6718700987;8639.955826212;8717.016242024;8902.7124348516;9001.268472506801;8600.4347576749;8977.058214701701;9452.6677819103;9537.1345446426;9832.065648049;10263.9679910862;ND;9397.319485141401;10129.3128238553;10145.3492454606;9961.6547883724;10231.0373281884;9889.338100766001;9972.9740408706;9810.4705672666;9617.6691532867;9659.2849242669;10463.0351300134;10442.199451753;10391.5687360444;10738.491953127601
38;Nuevo León;Mujeres;7562.1636430515;7615.2449828608005;7714.7772424350005;7433.694544495101;7343.917879114;7607.2436231689;7966.875967529801;7814.8753541727;8013.1070095267005;7669.446533914101;7839.4678037064;7697.8775752166;7609.714301767301;7544.1680984820005;7401.472246056101;7162.2585150512;6779.1443940577;6950.3587373347;6772.7454302441;6764.0188489347;6899.8092638827;6873.5005519954;6889.0814800066;6619.893921126601;6736.631661549401;6569.8817063806;6489.3198689809005;6173.9493426646;6128.494332623;6144.495633872501;6434.6668416711;6185.9148634542;6589.1267215129;6444.6271183109;6352.1313176963;5991.096037866;5776.3734151046;5760.7521940788;5988.949887077601;5643.7676775982;6094.0756783055;6170.3862548487;5974.3155880038;6301.3268889699;6062.4877391143;6679.4949860325005;6261.2590600753;6320.2227006757;6508.8006079661;6469.731427585501;6365.2172499174;6174.2414401797005;6333.0354382118;6480.5396091957;6620.043606306101;6338.0051787015;6440.9581080003;6995.1032286059;7100.9953395302;7007.733846726101;7396.4499442838005;ND;7616.8829001726;7762.5253975909;8033.3623347042;7304.9164751353;7659.0024821708;7498.0362128693005;7726.2284290651005;7229.623410089001;7414.2253539491;7211.6684483227;7869.8112184623005;7753.540556359;8093.972382849401;8102.0710971417
39;Oaxaca;Hombres;4362.1603490406005;4467.3129964605005;4040.3273249204003;4337.8056307274;4125.9379117367;4460.3063892727005;4045.1167258666;4150.5002354367;4276.7003340038;4348.0233014927;4253.6878918956;4079.6016034786003;4599.5874130426;4590.0171552011;3925.417715515;3829.7423785933;3986.2389216616;3863.0643119473;3672.5374297511003;3680.9572152208;3913.2690298573;3796.6159792579;3670.9520145526003;3796.4056667961;3969.7388694913;3880.1326000178;3876.7801328054;3901.1596710795;4157.3312950824;4098.6024120026;4068.4403057509003;3957.0537546856003;4051.2343358405;3946.9278465548;3765.4860070066;3515.3196540416;3802.034121693;3601.299373136;3569.6271476693;3608.3642095845003;3737.4438540197;3790.5879407455;3719.4662073816003;3933.7913934147;3679.8030601038;3719.9043837158;3504.0157868051;3781.0836689979;3749.4432033977;3688.2247696782;3505.9854347051;3406.4769852564;3552.2648717733;3658.4709438364002;3530.1422218858;3689.8169554263;4035.4507810436003;3761.5674558126;3747.3005996989;3773.1087708522;4177.5541732499005;ND;3937.4894897207;3920.8078013256;4104.0150320215;3700.5547918812003;3919.0964012713002;3672.6192014964;4027.4443970514003;4158.057866089101;3871.4546563951003;4090.3997061781;4439.6666229031;4507.8530773286;4398.5367904048;4429.3948712065
40;Oaxaca;Mujeres;3223.1962369275;2849.0582036297;3079.0344483835;3257.3268210144;3205.564479168;3476.1589633407;3189.6221637093;3165.1707638779003;3463.3820080612;3505.3017295113;3175.3340119022;3205.8435572864;3287.8700649174;3613.1731767978004;3380.6390495615;3458.0592054652;3556.0582265390003;3289.6565027902;3066.2194832991;3055.2942704184;3174.7013204808;3308.5567030034003;3167.1125929895;3521.3462252243003;3406.1641917718002;3227.4648265043;3099.440743987;3026.9262189804003;3253.0306440589;3385.1035557186;3069.6532684428003;3171.1874570123;3404.7106470152003;3382.0072019948;3283.6356417274;3012.4055942023;3118.3664026332003;3162.9986597593;3017.0216080672003;3058.9256688205;3203.2698289243003;3169.7861748409;2996.1340903004;3044.9388934511003;3036.4970560155;2960.0534256842;2988.6493647896;3087.4934457255;3296.2363166637;2929.6980250722;3000.8156553282;3084.3085397479;3138.8197894560003;3091.9664685524003;2833.907639327;2923.1465786900003;2884.1907166401;2881.1489725769;2858.8046149353;2771.6530686307;3223.93210704;ND;3407.8357607999;3224.8446077425;3354.3203928856;3278.9059140769;3313.7865236157;3020.2876552698003;3169.5352834171;3062.0944679295003;3182.7554671187;3056.7269072813;3580.8084527572;3628.9628277483002;3462.1914010039;3620.8050714720002
41;Puebla;Hombres;5420.1165835391;5295.287350227;5420.9575158636;5543.2251576995;5647.7708500316;5206.4566898895;5541.144128443801;5527.8863463512;5414.4595737324;5615.552920576601;5624.5064810949;5408.807769261301;5587.1303761839;5439.2118981137;5530.322030377401;5289.4322733399;5414.2840813416005;5116.6337403856005;5126.7423495111;5007.706824583201;5187.3857047955;5286.8361145739;5271.6687990166;5213.7469040694;5334.3945959416005;5185.5440767949;5076.2242874449;4953.5481908027;5481.7613160392;5082.1147113523;5322.7729915897;5286.751454699101;5299.3029551487;4814.4100290171;4824.9219782092005;4851.9434344292;4969.294002434101;4767.7117112101005;4918.7510229316;4925.9720236162;5063.7794189846;5007.1487099954;4964.2445923704;5078.8162584393;5150.4961781523;5068.8756781902;5312.3325388696;4991.951538520901;5078.5508001317;5083.641864060401;5075.8141328008005;5017.857364045;5470.0632965176;5346.4262019868;5388.0142199766005;5443.8039042439;5570.5226830428;5419.8740314216;5461.0505128266;5710.945000946001;6036.9748206389;ND;4813.1109153771;5348.9571928092;5563.6964213808005;5472.105678712201;5497.9000494523;5300.7931379797;5548.5009431615;5510.0293495591;5722.179809421;5802.7135733558;5956.3053576022;5951.488128998701;6108.387844319101;5856.2778900475005
